422103,19.8667,74.0333,Maharashtra,state,SINNAR,19 52 00 N,074 02 00 E
572137,13.75,76.8833,Karnataka,state,SIRA,13 45 00 N,076 53 00 E
140406,30.65,76.4667,Punjab,state,SIRHIND,30 39 00 N,076 28 00 E
723154,23.2667,86.2,West Bengal,state,SIRKABAD,23 16 00 N,086 12 00 E
486448,24.85,81.3833,Madhya Pradesh,state,SIRMAUR,24 51 00 N,081 23 00 E
307001,25.8833,72.9667,Rajasthan,state,SIROHI,25 53 00 N,072 58 00 E
464228,24.0833,77.65,Madhya Pradesh,state,SIRONJ,24 05 00 N,077 39 00 E
125056,29.5333,75.0667,Haryana,state,SIRSA,29 32 00 N,075 04 00 E
205151,27.0333,78.7,Uttar Pradesh,state,SIRSAGANJ,27 02 00 N,078 42 00 E
581401,14.6667,74.85,Karnataka,state,SIRSI,14 40 00 N,074 51 00 E
505301,18.4,78.8,Andhra Pradesh,state,SIRSILLA,18 24 00 N,078 48 00 E
736158,26.1667,89.1833,West Bengal,state,SITALKUCHI,26 10 00 N,089 11 00 E
843301,26.6,85.5,Bihar,state,SITAMARHI,26 36 00 N,085 30 00 E
497111,27.55,80.6667,Uttar Pradesh,state,SITAPUR,27 33 00 N,080 40 00 E
713359,23.7167,86.8833,West Bengal,state,SITARAMPUR,23 43 00 N,086 53 00 E
626124,9.4333,77.8333,Tamil Nadu,state,SIVAKASI,09 26 00 N,077 50 00 E
623560,9.8333,78.5,Tamil Nadu,state,SIVANGANGA,09 50 00 N,078 30 00 E
841226,26.2333,84.35,Bihar,state,SIWAN,26 14 00 N,084 21 00 E
245412,28.6167,78.0667,Uttar Pradesh,state,SIYANA,28 37 00 N,078 04 00 E
700110,22.7,88.3833,West Bengal,state,SODPUR,22 42 00 N,088 23 00 E
461771,22.7167,78.2333,Madhya Pradesh,state,SOHAGPUR,22 43 00 N,078 14 00 E
122103,28.25,77.0667,Haryana,state,SOHNA,28 15 00 N,077 04 00 E
306104,25.8833,73.75,Rajasthan,state,SOJAT,25 53 00 N,073 45 00 E
387240,22.55,72.7167,Gujarat,state,SOJITRA,22 33 00 N,072 43 00 E
173212,30.9167,77.1167,Himachal Pradesh,state,SOLAN,30 55 00 N,077 07 00 E
532284,18.9667,84.65,Andhra Pradesh,state,SOMPETA,18 58 00 N,084 39 00 E
191203,34.3,75.3,Jammu and Kashmir,state,SONAMARG,34 18 00 N,075 18 00 E
722207,23.3,87.4167,West Bengal,state,SONAMUKHI,23 18 00 N,087 25 00 E
799131,23.4833,91.2333,Tripura,state,SONAMURA,23 29 00 N,091 14 00 E
